ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
21.0,TIENDAS DE AUTO SERVICIO,COSCO,Boulevard Adolfo López Mateos,1135,Calle 10 y calle 16,SAN PEDRO DE LOS PINOS,01280,,Álvaro Obregón,POINT (479986.26690000016 2143668.9399999995)
22.0,TIENDAS DE AUTO SERVICIO,SPORT CITY,Boulevard Adolfo López Mateos,1145,Calle 10 y calle 16,SAN PEDRO DE LOS PINOS,01280,,Álvaro Obregón,POINT (479937.39499999955 2143533.5544000007)
23.0,CENTRO COMERCIAL,Grupo Sordo,Periférico,3025,,Pedregal de San Angel,,,Álvaro Obregón,POINT (476943.18460000027 2135513.6788999997)
24.0,CENTRO Y PLAZA COMERCIAL,Terraza Pedregal,Blvd Adolfo López Mateos,4132,,Jardines deL Pedregal,01900,,Álvaro Obregón,POINT (477990.19350000005 2134782.9617999997)
25.0,CENTRO Y PLAZA COMERCIAL,Grand Pedregal,De Las Fuentes,556,,Jardines del Pedregal,01900,,Álvaro Obregón,POINT (477745.86789999995 2135858.9558000006)
26.0,CENTRO Y PLAZA COMERCIAL,JOLIE,De Las Fuentes,425,,Jardines del Pedregal,01900,,Álvaro Obregón,POINT (477828.1863000002 2136168.6962)
27.0,CENTRO Y PLAZA COMERCIAL,Plaza Bazar,Periferico Sur,2930,,Tizapan San Angel,01090,,Álvaro Obregón,POINT (478043.0513000004 2137710.4223999996)
28.0,CENTRO Y PLAZA COMERCIAL,Plaza Escenaria,San Jeronimo,263,,Tizapan San Angel,01090,,Álvaro Obregón,POINT (479099.9358999999 2137974.4691000003)
29.0,CENTRO Y PLAZA COMERCIAL,Patio Revolución,C del Ayuntamiento,3,,San Angel,01000,,Álvaro Obregón,POINT (479884.75129999965 2138674.7860000003)
30.0,CENTRO Y PLAZA COMERCIAL,Plaza Grand San Angel,C de la Amargura,17,,San Angel,01000,,Álvaro Obregón,POINT (479907.3800999997 2139145.0211999994)
31.0,CENTRO Y PLAZA COMERCIAL,Plaza del Carmen,Av de la Paz,57,,San Angel,01000,,Álvaro Obregón,POINT (480125.07919999957 2139165.0776000004)
32.0,CENTRO Y PLAZA COMERCIAL,Plaza Versalles,Av de la Paz,39,,San Angel,01000,,Álvaro Obregón,POINT (480135.89219999965 2139242.8615000006)
33.0,CENTRO Y PLAZA COMERCIAL,Plaza,Insurgentes Sur,1787,,Guadalupe Inn,01020,,Álvaro Obregón,POINT (480624.79700000025 2140414.2190000005)
34.0,CENTRO Y PLAZA COMERCIAL,Portal San Angel,Revolucion,1267,,Guadalupe Inn,1267,,Álvaro Obregón,POINT (480024.61670000013 2140778.0632000007)
35.0,CENTRO Y PLAZA COMERCIAL,Plaza San Angel,Altavista,125,,San Angel Inn,01060,,Álvaro Obregón,POINT (479499.4687000001 2139479.4167)
36.0,CENTRO Y PLAZA COMERCIAL,Plaza,Av Toluca,215,,Olivar de los Padres,01780,,Álvaro Obregón,POINT (477973.4001000002 2138581.510399999)
37.0,CENTRO Y PLAZA COMERCIAL,Plaza Olivar 481,Av Toluca,479,,Olivar de los Padres,01780,,Álvaro Obregón,POINT (477108.5142000001 2138421.9893999994)
38.0,TIENDAS DE AUTOSERVICIO_1,WALMART EXPRESS,Av Toluca,511,,Olivar de los Padres,01780,,Álvaro Obregón,POINT (476993.7955 2138393.1547)
39.0,CENTRO Y PLAZA COMERCIAL,La Plaza,AV. TOLUCA,571,,,01780,,Álvaro Obregón,POINT (476810.2456 2138316.8823000006)
40.0,CENTRO Y PLAZA COMERCIAL,Square Plaza,Av Toluca,585,,Olivar de los Padres,01780,,Álvaro Obregón,POINT (476777.07019999996 2138279.2886999995)
41.0,CENTRO Y PLAZA COMERCIAL,Plaza Torres de Potrero,Alta tension,71,,Torres de Potrero,01840,,Álvaro Obregón,POINT (473596.6496000001 2137384.2503999993)
42.0,CENTRO Y PLAZA COMERCIAL,Plaza Axiomiatla,Calz de las Aguilas,1952,,Lomas de Axiomatla,01820,,Álvaro Obregón,POINT (473492.0076000001 2138581.510399999)
43.0,CENTRO Y PLAZA COMERCIAL,Grand San Francisco,Desierto de los Leones,5525,,Alcatarilla,01729,,Álvaro Obregón,POINT (474480.44859999977 2138350.2128)
44.0,CENTRO Y PLAZA COMERCIAL,Plaza,Olivar de los Padres,1086,,San Jose del Olivar,01770,,Álvaro Obregón,POINT (475038.8496000003 2138168.678200001)
45.0,CENTRO Y PLAZA COMERCIAL,Plaza Punta las Aguilas,Calz de las Aguilas,1289,,Puente Colorado,1289,,Álvaro Obregón,POINT (475782.04059999995 2139397.2533)
46.0,TIENDAS DE AUTOSERVICIO_1,Bodega Aurrera Express,Calz de las Aguilas,1258,,Puente Colorado,01730,,Álvaro Obregón,POINT (475902.1852000002 2139399.423699999)
47.0,CENTRO Y PLAZA COMERCIAL,Aguilas once 68,Calz Aguilas,1168,,San Clemente,01740,,Álvaro Obregón,POINT (476207.8724999996 2139432.2185999993)
48.0,CENTRO Y PLAZA COMERCIAL,Mini Mall,Calz de las Aguilas,807,,1 secc la Aguilas,01710,,Álvaro Obregón,POINT (477281.08079999965 2139951.2726000007)
49.0,CENTRO Y PLAZA COMERCIAL,Plaza Atlamaya,Blvd Adolfo Lopez Mateos,2433,,Atlamaya,01760,,Álvaro Obregón,POINT (478794.76159999985 2139414.6685000006)
50.0,CENTRO Y PLAZA COMERCIAL,Plaza Tlamaya,Altavista,147,,San Anguel Inn,01060,,Álvaro Obregón,POINT (479351.1365 2139518.25)
51.0,TIENDAS DEPARTAMENTALES_1,TOKS y Office Depot,Manuel Gutierrez Zamora,2,,Las aguilas,01710,,Álvaro Obregón,POINT (479109.58939999994 2140394.6104000006)
52.0,CENTRO Y PLAZA COMERCIAL,Plaza las Aguilas,Calz de los Leones,145,,Aguilas,01710,,Álvaro Obregón,POINT (479281.29420000035 2140807.2174999993)
53.0,CENTRO Y PLAZA COMERCIAL,Plaza,Prol 5 de Mayo,3121,,,01618,,Álvaro Obregón,POINT (476523.0585000003 2140928.8507000003)
54.0,CENTRO Y PLAZA COMERCIAL,Supercito Chedraui Santa Lucia,Santa Lucia,343,,Olivar de Conde 1 secc,01480,,Álvaro Obregón,POINT (477672.1264000004 2141975.6263999995)
